Technique_ID,Original_Train_Support,Frequency_Group,Validation_Support,Optimal_Threshold,Validation_F2,Fallback_Used
T1003,150,Head,19,0.47,0.0,True
T1005,89,Medium,11,0.46,0.6862745098039216,False
T1012,33,Medium,4,0.47,0.0,True
T1016,53,Medium,7,0.45,0.7575757575757576,False
T1021,138,Head,17,0.47,0.0,True
T1027,870,Head,109,0.47,0.0,True
T1033,52,Medium,7,0.35,0.5405405405405406,False
T1036,101,Head,13,0.47,0.0,True
T1041,116,Head,15,0.47,0.0,True
T1047,94,Medium,12,0.39,0.9166666666666666,False
T1053,138,Head,17,0.47,0.0,True
T1055,379,Head,47,0.47,0.0,True
T1056,63,Medium,8,0.31,0.5681818181818182,False
T1057,94,Medium,12,0.41,0.7377049180327869,False
T1059,372,Head,47,0.47,0.0,True
T1068,13,Tail,2,0.47,0.0,True
T1070,104,Head,13,0.47,0.0,True
T1071,203,Head,25,0.47,0.0,True
T1072,15,Tail,2,0.47,0.0,True
T1074,39,Medium,5,0.4,0.6521739130434783,False
T1078,222,Head,28,0.47,0.0,True
T1082,146,Head,18,0.47,0.0,True
T1083,124,Head,16,0.47,0.0,True
T1090,191,Head,24,0.47,0.0,True
T1095,69,Medium,9,0.44,0.7954545454545454,False
T1105,355,Head,44,0.47,0.0,True
T1106,254,Head,32,0.47,0.0,True
T1110,72,Medium,9,0.29,0.7547169811320755,False
T1112,141,Head,18,0.47,0.0,True
T1113,42,Medium,5,0.4,0.8,False
T1140,548,Head,69,0.47,0.0,True
T1190,78,Medium,10,0.38,0.8163265306122449,False
T1204,130,Head,16,0.47,0.0,True
T1210,20,Medium,3,0.47,0.0,True
T1218,67,Medium,8,0.35,0.7317073170731707,False
T1219,78,Medium,10,0.34,0.6730769230769231,False
T1484,32,Medium,4,0.47,0.0,True
T1518,49,Medium,6,0.47,0.967741935483871,False
T1543,66,Medium,8,0.34,0.5813953488372093,False
T1547,92,Medium,12,0.37,0.7936507936507936,False
T1548,35,Medium,4,0.47,0.0,True
T1552,32,Medium,4,0.47,0.0,True
T1557,8,Tail,1,0.47,0.0,True
T1562,124,Head,16,0.47,0.0,True
T1564,24,Medium,3,0.47,0.0,True
T1566,122,Head,15,0.47,0.0,True
T1569,30,Medium,4,0.47,0.0,True
T1570,83,Medium,10,0.39,0.6862745098039216,False
T1573,82,Medium,10,0.44,0.8,False
T1574,101,Head,13,0.47,0.0,True
